seq,channel,size,sid,dbs,fn_q,dbc,fmt,fdf,syt_be,syt
237,0,72,2,2,0,168,144,2,0x4170,28737
239,0,72,2,2,0,176,144,2,0x556F,28501
241,0,8,2,2,0,184,144,2,0xFFFF,65535
243,0,72,2,2,0,184,144,2,0x6970,28777
245,0,72,2,2,0,192,144,2,0x8170,28801
247,0,72,2,2,0,200,144,2,0x9570,28821
249,0,8,2,2,0,208,144,2,0xFFFF,65535
251,0,72,2,2,0,208,144,2,0xA970,28841
253,0,72,2,2,0,216,144,2,0xC170,28865
255,0,72,2,2,0,224,144,2,0xD570,28885
257,0,8,2,2,0,232,144,2,0xFFFF,65535
259,0,72,2,2,0,232,144,2,0xE970,28905
261,0,72,2,2,0,240,144,2,0x016F,28417
263,0,72,2,2,0,248,144,2,0x1570,28693
265,0,8,2,2,0,0,144,2,0xFFFF,65535
267,0,72,2,2,0,0,144,2,0x296F,28457
269,0,72,2,2,0,8,144,2,0x4170,28737
271,0,72,2,2,0,16,144,2,0x5570,28757
273,0,8,2,2,0,24,144,2,0xFFFF,65535
275,0,72,2,2,0,24,144,2,0x6970,28777
277,0,72,2,2,0,32,144,2,0x8170,28801
279,0,72,2,2,0,40,144,2,0x9570,28821
281,0,8,2,2,0,48,144,2,0xFFFF,65535
283,0,72,2,2,0,48,144,2,0xA96F,28585
285,0,72,2,2,0,56,144,2,0xC170,28865
287,0,72,2,2,0,64,144,2,0xD570,28885
289,0,8,2,2,0,72,144,2,0xFFFF,65535
291,0,72,2,2,0,72,144,2,0xE96F,28649
293,0,72,2,2,0,80,144,2,0x0170,28673
295,0,72,2,2,0,88,144,2,0x156F,28437
297,0,8,2,2,0,96,144,2,0xFFFF,65535
299,0,72,2,2,0,96,144,2,0x2970,28713
301,0,72,2,2,0,104,144,2,0x4170,28737
303,0,72,2,2,0,112,144,2,0x5570,28757
305,0,8,2,2,0,120,144,2,0xFFFF,65535
307,0,72,2,2,0,120,144,2,0x6970,28777
309,0,72,2,2,0,128,144,2,0x8170,28801
311,0,72,2,2,0,136,144,2,0x9570,28821
313,0,8,2,2,0,144,144,2,0xFFFF,65535
315,0,72,2,2,0,144,144,2,0xA970,28841
317,0,72,2,2,0,152,144,2,0xC170,28865
319,0,72,2,2,0,160,144,2,0xD570,28885
321,0,8,2,2,0,168,144,2,0xFFFF,65535
323,0,72,2,2,0,168,144,2,0xE96F,28649
325,0,72,2,2,0,176,144,2,0x0170,28673
327,0,72,2,2,0,184,144,2,0x1570,28693
329,0,8,2,2,0,192,144,2,0xFFFF,65535
331,0,72,2,2,0,192,144,2,0x296F,28457
333,0,72,2,2,0,200,144,2,0x4170,28737
335,0,72,2,2,0,208,144,2,0x556F,28501
337,0,8,2,2,0,216,144,2,0xFFFF,65535
339,0,72,2,2,0,216,144,2,0x6970,28777
341,0,72,2,2,0,224,144,2,0x816F,28545
343,0,72,2,2,0,232,144,2,0x956F,28565
345,0,8,2,2,0,240,144,2,0xFFFF,65535
347,0,72,2,2,0,240,144,2,0xA970,28841
349,0,72,2,2,0,248,144,2,0xC170,28865
351,0,72,2,2,0,0,144,2,0xD570,28885
353,0,8,2,2,0,8,144,2,0xFFFF,65535
355,0,72,2,2,0,8,144,2,0xE96F,28649
357,0,72,2,2,0,16,144,2,0x0170,28673
359,0,72,2,2,0,24,144,2,0x1570,28693
361,0,8,2,2,0,32,144,2,0xFFFF,65535
363,0,72,2,2,0,32,144,2,0x2970,28713
365,0,72,2,2,0,40,144,2,0x416F,28481
367,0,72,2,2,0,48,144,2,0x556F,28501
369,0,8,2,2,0,56,144,2,0xFFFF,65535
371,0,72,2,2,0,56,144,2,0x696F,28521
373,0,72,2,2,0,64,144,2,0x8170,28801
375,0,72,2,2,0,72,144,2,0x9570,28821
377,0,8,2,2,0,80,144,2,0xFFFF,65535
379,0,72,2,2,0,80,144,2,0xA970,28841
381,0,72,2,2,0,88,144,2,0xC16F,28609
383,0,72,2,2,0,96,144,2,0xD570,28885
385,0,8,2,2,0,104,144,2,0xFFFF,65535
387,0,72,2,2,0,104,144,2,0xE96F,28649
389,0,72,2,2,0,112,144,2,0x0170,28673
