seq,channel,size,sid,dbs,fn_q,dbc,fmt,fdf,syt_be,syt
0,0,72,2,2,0,0,144,1,0x6857,22376
2,0,72,2,2,0,8,144,1,0x81C1,49537
4,0,8,2,2,0,16,144,1,0xFFFF,65535
6,0,72,2,2,0,16,144,1,0x972B,11159
8,0,72,2,2,0,24,144,1,0xB095,38320
10,0,8,2,2,0,32,144,1,0xFFFF,65535
12,0,72,2,2,0,32,144,1,0xC600,198
14,0,72,2,2,0,40,144,1,0xDB6A,27355
16,0,72,2,2,0,48,144,1,0xF4D4,54516
18,0,8,2,2,0,56,144,1,0xFFFF,65535
20,0,72,2,2,0,56,144,1,0x0A3E,15882
22,0,72,2,2,0,64,144,1,0x23A8,43043
24,0,8,2,2,0,72,144,1,0xFFFF,65535
26,0,72,2,2,0,72,144,1,0x3913,4921
28,0,72,2,2,0,80,144,1,0x527D,32082
30,0,8,2,2,0,88,144,1,0xFFFF,65535
32,0,72,2,2,0,88,144,1,0x67E7,59239
34,0,72,2,2,0,96,144,1,0x8151,20865
36,0,8,2,2,0,104,144,1,0xFFFF,65535
38,0,72,2,2,0,104,144,1,0x96BB,48022
40,0,72,2,2,0,112,144,1,0xB026,9904
42,0,8,2,2,0,120,144,1,0xFFFF,65535
44,0,72,2,2,0,120,144,1,0xC590,37061
46,0,72,2,2,0,128,144,1,0xDAFA,64218
48,0,72,2,2,0,136,144,1,0xF464,25844
50,0,8,2,2,0,144,144,1,0xFFFF,65535
52,0,72,2,2,0,144,144,1,0x09CE,52745
54,0,72,2,2,0,152,144,1,0x2339,14627
56,0,8,2,2,0,160,144,1,0xFFFF,65535
58,0,72,2,2,0,160,144,1,0x38A3,41784
60,0,72,2,2,0,168,144,1,0x520D,3410
62,0,8,2,2,0,176,144,1,0xFFFF,65535
64,0,72,2,2,0,176,144,1,0x6777,30567
66,0,72,2,2,0,184,144,1,0x80E1,57728
68,0,8,2,2,0,192,144,1,0xFFFF,65535
70,0,72,2,2,0,192,144,1,0x964C,19606
72,0,72,2,2,0,200,144,1,0xABB6,46763
74,0,8,2,2,0,208,144,1,0xFFFF,65535
76,0,72,2,2,0,208,144,1,0xC520,8389
78,0,72,2,2,0,216,144,1,0xDA8A,35546
80,0,72,2,2,0,224,144,1,0xF3F4,62707
82,0,8,2,2,0,232,144,1,0xFFFF,65535
84,0,72,2,2,0,232,144,1,0x095F,24329
86,0,72,2,2,0,240,144,1,0x22C9,51490
88,0,8,2,2,0,248,144,1,0xFFFF,65535
90,0,72,2,2,0,248,144,1,0x3833,13112
92,0,72,2,2,0,0,144,1,0x519D,40273
94,0,8,2,2,0,8,144,1,0xFFFF,65535
96,0,72,2,2,0,8,144,1,0x6707,1895
98,0,72,2,2,0,16,144,1,0x8072,29312
100,0,8,2,2,0,24,144,1,0xFFFF,65535
102,0,72,2,2,0,24,144,1,0x95DC,56469
104,0,72,2,2,0,32,144,1,0xAB46,18091
106,0,72,2,2,0,40,144,1,0xC4B0,45252
108,0,8,2,2,0,48,144,1,0xFFFF,65535
110,0,72,2,2,0,48,144,1,0xDA1A,6874
112,0,72,2,2,0,56,144,1,0xF385,34291
114,0,8,2,2,0,64,144,1,0xFFFF,65535
116,0,72,2,2,0,64,144,1,0x08EF,61192
118,0,72,2,2,0,72,144,1,0x2259,22818
120,0,8,2,2,0,80,144,1,0xFFFF,65535
122,0,72,2,2,0,80,144,1,0x37C3,49975
124,0,72,2,2,0,88,144,1,0x512D,11601
126,0,8,2,2,0,96,144,1,0xFFFF,65535
128,0,72,2,2,0,96,144,1,0x6698,39014
130,0,72,2,2,0,104,144,1,0x8002,640
132,0,8,2,2,0,112,144,1,0xFFFF,65535
134,0,72,2,2,0,112,144,1,0x956C,27797
136,0,72,2,2,0,120,144,1,0xAAD6,54954
138,0,72,2,2,0,128,144,1,0xC440,16580
140,0,8,2,2,0,136,144,1,0xFFFF,65535
142,0,72,2,2,0,136,144,1,0xD9AB,43993
144,0,72,2,2,0,144,144,1,0xF315,5619
146,0,8,2,2,0,152,144,1,0xFFFF,65535
148,0,72,2,2,0,152,144,1,0x087F,32520
150,0,72,2,2,0,160,144,1,0x21E9,59681
152,0,8,2,2,0,168,144,1,0xFFFF,65535
154,0,72,2,2,0,168,144,1,0x3753,21303
156,0,72,2,2,0,176,144,1,0x50BE,48720
158,0,8,2,2,0,184,144,1,0xFFFF,65535
160,0,72,2,2,0,184,144,1,0x6628,10342
162,0,72,2,2,0,192,144,1,0x7B92,37499
164,0,72,2,2,0,200,144,1,0x94FC,64660
166,0,8,2,2,0,208,144,1,0xFFFF,65535
168,0,72,2,2,0,208,144,1,0xAA66,26282
170,0,72,2,2,0,216,144,1,0xC3D1,53699
172,0,8,2,2,0,224,144,1,0xFFFF,65535
174,0,72,2,2,0,224,144,1,0xD93B,15321
176,0,72,2,2,0,232,144,1,0xF2A5,42482
178,0,8,2,2,0,240,144,1,0xFFFF,65535
180,0,72,2,2,0,240,144,1,0x080F,3848
182,0,72,2,2,0,248,144,1,0x2179,31009
184,0,8,2,2,0,0,144,1,0xFFFF,65535
186,0,72,2,2,0,0,144,1,0x36E4,58422
188,0,72,2,2,0,8,144,1,0x504E,20048
190,0,8,2,2,0,16,144,1,0xFFFF,65535
192,0,72,2,2,0,16,144,1,0x65B8,47205
194,0,72,2,2,0,24,144,1,0x7B22,8827
196,0,72,2,2,0,32,144,1,0x948C,35988
198,0,8,2,2,0,40,144,1,0xFFFF,65535
200,0,72,2,2,0,40,144,1,0xA9F7,63401
202,0,72,2,2,0,48,144,1,0xC361,25027
204,0,8,2,2,0,56,144,1,0xFFFF,65535
206,0,72,2,2,0,56,144,1,0xD8CB,52184
208,0,72,2,2,0,64,144,1,0xF235,13810
210,0,8,2,2,0,72,144,1,0xFFFF,65535
212,0,72,2,2,0,72,144,1,0x079F,40711
214,0,72,2,2,0,80,144,1,0x210A,2593
216,0,8,2,2,0,88,144,1,0xFFFF,65535
218,0,72,2,2,0,88,144,1,0x3674,29750
220,0,72,2,2,0,96,144,1,0x4BDE,56907
222,0,8,2,2,0,104,144,1,0xFFFF,65535
224,0,72,2,2,0,104,144,1,0x6548,18533
226,0,72,2,2,0,112,144,1,0x7AB2,45690
228,0,72,2,2,0,120,144,1,0x941D,7572
230,0,8,2,2,0,128,144,1,0xFFFF,65535
232,0,72,2,2,0,128,144,1,0xA987,34729
234,0,72,2,2,0,136,144,1,0xC2F1,61890
236,0,8,2,2,0,144,144,1,0xFFFF,65535
238,0,72,2,2,0,144,144,1,0xD85B,23512
240,0,72,2,2,0,152,144,1,0xF1C5,50673
242,0,8,2,2,0,160,144,1,0xFFFF,65535
244,0,72,2,2,0,160,144,1,0x0730,12295
246,0,72,2,2,0,168,144,1,0x209A,39456
248,0,8,2,2,0,176,144,1,0xFFFF,65535
250,0,72,2,2,0,176,144,1,0x3604,1078
252,0,72,2,2,0,184,144,1,0x4B6E,28235
254,0,72,2,2,0,192,144,1,0x64D8,55396
256,0,8,2,2,0,200,144,1,0xFFFF,65535
258,0,72,2,2,0,200,144,1,0x7A43,17274
260,0,72,2,2,0,208,144,1,0x93AD,44435
262,0,8,2,2,0,216,144,1,0xFFFF,65535
264,0,72,2,2,0,216,144,1,0xA917,6057
266,0,72,2,2,0,224,144,1,0xC281,33218
268,0,8,2,2,0,232,144,1,0xFFFF,65535
270,0,72,2,2,0,232,144,1,0xD7EB,60375
272,0,72,2,2,0,240,144,1,0xF155,22001
274,0,8,2,2,0,248,144,1,0xFFFF,65535
276,0,72,2,2,0,248,144,1,0x06C0,49158
278,0,72,2,2,0,0,144,1,0x202A,10784
280,0,8,2,2,0,8,144,1,0xFFFF,65535
282,0,72,2,2,0,8,144,1,0x3594,37941
284,0,72,2,2,0,16,144,1,0x4AFE,65098
286,0,72,2,2,0,24,144,1,0x6469,26980
288,0,8,2,2,0,32,144,1,0xFFFF,65535
290,0,72,2,2,0,32,144,1,0x79D3,54137
292,0,72,2,2,0,40,144,1,0x933D,15763
294,0,8,2,2,0,48,144,1,0xFFFF,65535
296,0,72,2,2,0,48,144,1,0xA8A7,42920
298,0,72,2,2,0,56,144,1,0xC211,4546
300,0,8,2,2,0,64,144,1,0xFFFF,65535
302,0,72,2,2,0,64,144,1,0xD77C,31959
304,0,72,2,2,0,72,144,1,0xF0E6,59120
306,0,8,2,2,0,80,144,1,0xFFFF,65535
308,0,72,2,2,0,80,144,1,0x0650,20486
310,0,72,2,2,0,88,144,1,0x1BBA,47643
312,0,8,2,2,0,96,144,1,0xFFFF,65535
314,0,72,2,2,0,96,144,1,0x3524,9269
316,0,72,2,2,0,104,144,1,0x4A8F,36682
318,0,72,2,2,0,112,144,1,0x63F9,63843
320,0,8,2,2,0,120,144,1,0xFFFF,65535
322,0,72,2,2,0,120,144,1,0x7963,25465
324,0,72,2,2,0,128,144,1,0x92CD,52626
326,0,8,2,2,0,136,144,1,0xFFFF,65535
328,0,72,2,2,0,136,144,1,0xA837,14248
330,0,72,2,2,0,144,144,1,0xC1A2,41665
332,0,8,2,2,0,152,144,1,0xFFFF,65535
334,0,72,2,2,0,152,144,1,0xD70C,3287
336,0,72,2,2,0,160,144,1,0xF076,30448
338,0,8,2,2,0,168,144,1,0xFFFF,65535
340,0,72,2,2,0,168,144,1,0x05E0,57349
342,0,72,2,2,0,176,144,1,0x1B4A,18971
344,0,72,2,2,0,184,144,1,0x34B5,46388
346,0,8,2,2,0,192,144,1,0xFFFF,65535
348,0,72,2,2,0,192,144,1,0x4A1F,8010
350,0,72,2,2,0,200,144,1,0x6389,35171
352,0,8,2,2,0,208,144,1,0xFFFF,65535
354,0,72,2,2,0,208,144,1,0x78F3,62328
356,0,72,2,2,0,216,144,1,0x925D,23954
358,0,8,2,2,0,224,144,1,0xFFFF,65535
360,0,72,2,2,0,224,144,1,0xA7C8,51367
362,0,72,2,2,0,232,144,1,0xC132,12993
364,0,8,2,2,0,240,144,1,0xFFFF,65535
366,0,72,2,2,0,240,144,1,0xD69C,40150
368,0,72,2,2,0,248,144,1,0xF006,1776
370,0,8,2,2,0,0,144,1,0xFFFF,65535
372,0,72,2,2,0,0,144,1,0x0570,28677
374,0,72,2,2,0,8,144,1,0x1ADB,56090
376,0,72,2,2,0,16,144,1,0x3445,17716
378,0,8,2,2,0,24,144,1,0xFFFF,65535
380,0,72,2,2,0,24,144,1,0x49AF,44873
