idx,channel,size,syt_be,syt
436,1,72,0x696F,28521
438,1,72,0x816F,28545
440,1,72,0x956F,28565
442,1,8,0xFFFF,65535
444,1,72,0xA96F,28585
446,1,72,0xC170,28865
448,1,72,0xD56F,28629
450,1,8,0xFFFF,65535
452,1,72,0xE970,28905
454,1,72,0x0170,28673
456,1,72,0x1570,28693
458,1,8,0xFFFF,65535
460,1,72,0x296F,28457
462,1,72,0x416F,28481
464,1,72,0x5570,28757
466,1,8,0xFFFF,65535
468,1,72,0x6970,28777
470,1,72,0x8170,28801
472,1,72,0x9570,28821
474,1,8,0xFFFF,65535
476,1,72,0xA96F,28585
478,1,72,0xC16F,28609
480,1,72,0xD56F,28629
482,1,8,0xFFFF,65535
484,1,72,0xE96F,28649
486,1,72,0x0170,28673
488,1,72,0x156F,28437
490,1,8,0xFFFF,65535
492,1,72,0x2970,28713
494,1,72,0x4170,28737
496,1,72,0x5570,28757
498,1,8,0xFFFF,65535
500,1,72,0x696F,28521
502,1,72,0x816F,28545
504,1,72,0x9570,28821
506,1,8,0xFFFF,65535
508,1,72,0xA970,28841
510,1,72,0xC16F,28609
512,1,72,0xD56F,28629
514,1,8,0xFFFF,65535
516,1,72,0xE970,28905
518,1,72,0x0170,28673
520,1,72,0x156F,28437
522,1,8,0xFFFF,65535
524,1,72,0x296F,28457
526,1,72,0x4170,28737
528,1,72,0x556F,28501
530,1,8,0xFFFF,65535
532,1,72,0x6970,28777
534,1,72,0x816F,28545
536,1,72,0x956F,28565
538,1,8,0xFFFF,65535
540,1,72,0xA96F,28585
542,1,72,0xC170,28865
544,1,72,0xD570,28885
546,1,8,0xFFFF,65535
548,1,72,0xE970,28905
550,1,72,0x0170,28673
552,1,72,0x1570,28693
554,1,8,0xFFFF,65535
556,1,72,0x2970,28713
558,1,72,0x416F,28481
560,1,72,0x5570,28757
562,1,8,0xFFFF,65535
564,1,72,0x696F,28521
566,1,72,0x816F,28545
568,1,72,0x9570,28821
570,1,8,0xFFFF,65535
572,1,72,0xA970,28841
574,1,72,0xC16F,28609
576,1,72,0xD570,28885
578,1,8,0xFFFF,65535
580,1,72,0xE970,28905
582,1,72,0x016F,28417
584,1,72,0x1570,28693
